date,pre_close,open,high,low,close,changeinprice,changeinrate,diffrate
1992/6/19,1168.430 ,1169.970 ,1171.940 ,1161.800 ,1171.940 ,3.510 ,0.300 ,0.132 
1992/6/22,1171.940 ,1173.680 ,1180.210 ,1165.740 ,1169.900 ,-2.040 ,-0.174 ,0.148 
1992/6/23,1169.900 ,1162.830 ,1172.460 ,1154.620 ,1158.170 ,-11.730 ,-1.003 ,-0.604 
1992/6/24,1158.170 ,1150.890 ,1158.170 ,1144.460 ,1151.060 ,-7.110 ,-0.614 ,-0.629 
1992/6/25,1151.060 ,1153.480 ,1160.230 ,1148.020 ,1160.230 ,9.170 ,0.797 ,0.210 
1992/6/26,1160.230 ,1164.290 ,1207.820 ,1160.230 ,1164.670 ,4.440 ,0.383 ,0.350 
1992/6/29,1164.670 ,1168.890 ,1173.490 ,1156.680 ,1169.510 ,4.840 ,0.416 ,0.362 
1992/6/30,1169.510 ,1186.620 ,1193.160 ,1169.510 ,1191.190 ,21.680 ,1.854 ,1.463 
1992/7/1,1191.190 ,1199.540 ,1215.130 ,1182.050 ,1194.180 ,2.990 ,0.251 ,0.701 
1992/7/2,1194.180 ,1187.300 ,1198.660 ,1179.860 ,1187.480 ,-6.700 ,-0.561 ,-0.576 
1992/7/3,1187.480 ,1189.090 ,1193.390 ,1183.960 ,1189.160 ,1.680 ,0.142 ,0.136 
1992/7/6,1189.160 ,1197.760 ,1215.240 ,1190.270 ,1201.010 ,11.850 ,0.997 ,0.723 
1992/7/7,1201.010 ,1201.010 ,1206.910 ,1195.810 ,1206.460 ,5.450 ,0.454 ,0.000 
1992/7/8,1206.460 ,1192.370 ,1211.270 ,1182.720 ,1185.500 ,-20.960 ,-1.737 ,-1.168 
1992/7/9,1185.500 ,1172.440 ,1187.180 ,1168.780 ,1178.530 ,-6.970 ,-0.588 ,-1.102 
1992/7/10,1178.530 ,1175.140 ,1192.980 ,1166.450 ,1188.620 ,10.090 ,0.856 ,-0.288 
1992/7/13,1188.620 ,1156.830 ,1198.900 ,1131.210 ,1136.330 ,-52.290 ,-4.399 ,-2.675 
1992/7/14,1136.330 ,1124.650 ,1139.960 ,1110.190 ,1114.050 ,-22.280 ,-1.961 ,-1.028 
1992/7/15,1114.050 ,1107.180 ,1135.570 ,1100.160 ,1107.690 ,-6.360 ,-0.571 ,-0.617 
1992/7/16,1107.690 ,1114.130 ,1214.830 ,1108.230 ,1124.640 ,16.950 ,1.530 ,0.581 
1992/7/17,1124.640 ,1121.490 ,1134.320 ,1116.140 ,1125.560 ,0.920 ,0.082 ,-0.280 
1992/7/20,1125.560 ,1100.600 ,1126.960 ,1094.810 ,1098.820 ,-26.740 ,-2.376 ,-2.218 
1992/7/21,1098.820 ,1087.610 ,1096.490 ,1079.750 ,1082.390 ,-16.430 ,-1.495 ,-1.020 
1992/7/22,1082.390 ,1059.220 ,1081.810 ,1034.910 ,1035.660 ,-46.730 ,-4.317 ,-2.141 
